Label,Latitude,Longitude
RPT001,6.4920843,124.6111514
RPT002,6.4860931,124.6126107
RPT003,6.4802633,124.6122032
RPT004,6.4774647,124.6121165
RPT005,6.4737261,124.6142054
RPT006,6.4716548,124.614331
RPT007,6.4703885,124.6084883
RPT008,6.4740549,124.6037695
RPT009,6.4734366,124.5981881
RPT010,6.4764165,124.5967416
RPT011,6.4773675,124.5925066
RPT012,6.4781592,124.5908138
RPT013,6.4815084,124.5878103
RPT014,6.4813268,124.5755111
RPT015,6.4748099,124.5671108
RPT016,6.4881316,124.5593686
RPT017,6.4882928,124.5618518
RPT018,6.4898436,124.5648798
RPT019,6.4979445,124.5728669
RPT020,6.4970718,124.5928892
RPT021,6.4998691,124.593783
RPT022,6.5000706,124.5999786
RPT023,6.503229,124.6083877
