Label,Latitude,Longitude
RPT001,6.4250687,124.4907977
RPT002,6.3920114,124.4908151
RPT003,6.3919053,124.5109589
RPT004,6.3854339,124.5209804
RPT005,6.3468554,124.5209972
RPT006,6.3470257,124.4618719
RPT007,6.3494282,124.4615949
RPT008,6.3509564,124.4626773
RPT009,6.3535075,124.4630250
RPT010,6.3552066,124.4638242
RPT011,6.3570771,124.4641700
RPT012,6.3580393,124.4648536
RPT013,6.3597415,124.4645747
RPT014,6.3609881,124.4649755
RPT015,6.3636548,124.4645291
RPT016,6.3653602,124.4631153
RPT017,6.3699804,124.4627182
RPT018,6.3744095,124.4609458
RPT019,6.3776931,124.4605267
RPT020,6.3807672,124.4584649
RPT021,6.3856993,124.4554801
RPT022,6.3869879,124.4539843
RPT023,6.3921936,124.4541862
RPT024,6.3946226,124.4536631
RPT025,6.3993981,124.4505850
RPT026,6.4048237,124.4455104
RPT027,6.4128231,124.4455329
RPT028,6.4150372,124.4468073
RPT029,6.4161969,124.4470603
RPT030,6.4171209,124.4485654
RPT031,6.4213316,124.4507071
RPT032,6.4251531,124.4506199
RPT033,6.4271105,124.4514098
RPT034,6.4270565,124.4531745
RPT035,6.4256282,124.4558176
RPT036,6.4267518,124.4569484
RPT037,6.4291476,124.4585730
RPT038,6.4297315,124.4599963
RPT039,6.4313446,124.4612265
RPT040,6.4315029,124.4651066
RPT041,6.4319675,124.4660859
RPT042,6.4318791,124.4672763
RPT043,6.4308353,124.4682300
RPT044,6.4304278,124.4695470
RPT045,6.4308499,124.4705262
RPT046,6.4320383,124.4710399
RPT047,6.4327159,124.4718285
RPT048,6.4326671,124.4739970
RPT049,6.4310034,124.4753065
RPT050,6.4299897,124.4769191
RPT051,6.4293103,124.4792395
RPT052,6.4298084,124.4814623
RPT053,6.4303440,124.4823389
RPT054,6.4289265,124.4840177
RPT055,6.4278131,124.4852261
RPT056,6.4270987,124.4880175
RPT057,6.4256812,124.4896962
