Label,Latitude,Longitude
RPT001,6.5588563,124.5979578
RPT002,6.5542753,124.5990314
RPT003,6.552593,124.5927263
RPT004,6.5546629,124.5867388
RPT005,6.5257021,124.5162645
RPT006,6.5494084,124.5155965
RPT007,6.5495927,124.5182268
RPT008,6.5499699,124.5244748
RPT009,6.551445,124.528813
RPT010,6.552647,124.533963
RPT011,6.5554871,124.534378
RPT012,6.5580479,124.5376362
RPT013,6.5602007,124.5415703
RPT014,6.5615051,124.5409358
RPT015,6.5671397,124.5523058
RPT016,6.5697159,124.5528696
RPT017,6.5804237,124.573264
RPT018,6.5716547,124.5810462
RPT019,6.5766723,124.5911631
RPT020,6.5695801,124.5948073
RPT021,6.5641283,124.5955691
