Label,Latitude,Longitude
RPT001,6.4594849,124.6112453
RPT002,6.4576751,124.6109584
RPT003,6.4558992,124.6035288
RPT004,6.4537915,124.6031249
RPT005,6.4526943,124.6011491
RPT006,6.4499572,124.6008452
RPT007,6.4496828,124.5945713
RPT008,6.4296502,124.5464876
RPT009,6.4529428,124.5389277
RPT010,6.4813268,124.5755111
RPT011,6.4815084,124.5878103
RPT012,6.4781592,124.5908138
RPT013,6.4773675,124.5925066
RPT014,6.4764165,124.5967416
RPT015,6.4734366,124.5981881
RPT016,6.4740549,124.6037695
RPT017,6.4703885,124.6084883
RPT018,6.4716548,124.614331
RPT019,6.4689528,124.6144948
RPT020,6.4670788,124.6141189
RPT021,6.463127,124.618533
RPT022,6.4611924,124.6200138
