Label,Latitude,Longitude
RPT001,6.4711908,124.4975971
RPT002,6.4227334,124.4975354
RPT003,6.4227044,124.4945050
RPT004,6.4233394,124.4936077
RPT005,6.4247447,124.4913804
RPT006,6.4256812,124.4896962
RPT007,6.4270987,124.4880175
RPT008,6.4278131,124.4852261
RPT009,6.4289265,124.4840177
RPT010,6.4303440,124.4823389
RPT011,6.4298084,124.4814623
RPT012,6.4293103,124.4792395
RPT013,6.4299897,124.4769191
RPT014,6.4310034,124.4753065
RPT015,6.4326671,124.4739970
RPT016,6.4327159,124.4718285
RPT017,6.4320383,124.4710399
RPT018,6.4308499,124.4705262
RPT019,6.4304278,124.4695470
RPT020,6.4308353,124.4682300
RPT021,6.4318791,124.4672763
RPT022,6.4319675,124.4660859
RPT023,6.4315029,124.4651066
RPT024,6.4313446,124.4612265
RPT025,6.4297315,124.4599963
RPT026,6.4291476,124.4585730
RPT027,6.4267518,124.4569484
RPT028,6.4256282,124.4558176
RPT029,6.4270565,124.4531745
RPT030,6.4271105,124.4514098
RPT031,6.4251531,124.4506199
RPT032,6.4213316,124.4507071
RPT033,6.4171209,124.4485654
RPT034,6.4161969,124.4470603
RPT035,6.4150372,124.4468073
RPT036,6.4128231,124.4455329
RPT037,6.4048237,124.4455104
RPT038,6.4006945,124.4242624
RPT039,6.4011181,124.4242725
RPT040,6.4184544,124.4244474
RPT041,6.4374521,124.4215939
RPT042,6.4390309,124.4162327
RPT043,6.4629951,124.4218365
RPT044,6.4811645,124.4175993
RPT045,6.4841795,124.4563903
