Label,Latitude,Longitude
RPT001,6.3832824,124.6893142
RPT002,6.3795516,124.6916200
RPT003,6.3774859,124.6907854
RPT004,6.3721019,124.6925890
RPT005,6.3680780,124.6932500
RPT006,6.3625611,124.6931278
RPT007,6.3543317,124.6947674
RPT008,6.3486052,124.6950611
RPT009,6.3463136,124.6954702
RPT010,6.3467140,124.5684034
RPT011,6.3485035,124.5680306
RPT012,6.3495973,124.5703571
RPT013,6.3495519,124.5726598
RPT014,6.3528792,124.5760092
RPT015,6.3588650,124.5791164
RPT016,6.3649865,124.5802853
RPT017,6.3679255,124.5820212
RPT018,6.3686663,124.5832425
RPT019,6.3675769,124.5853385
RPT020,6.3686565,124.5864254
RPT021,6.3698379,124.5874110
RPT022,6.3700686,124.5894434
RPT023,6.3721145,124.5914910
RPT024,6.3721075,124.5937490
RPT025,6.3732107,124.5949879
RPT026,6.3735025,124.5970338
RPT027,6.3745190,124.5987837
RPT028,6.3748993,124.5997222
RPT029,6.3740007,124.6011253
RPT030,6.3717421,124.6017574
RPT031,6.3712551,124.6032067
RPT032,6.3721208,124.6048178
RPT033,6.3726132,124.6080024
RPT034,6.3734118,124.6096467
RPT035,6.3780631,124.6107335
RPT036,6.3792994,124.6116085
RPT037,6.3791954,124.6127474
RPT038,6.3772463,124.6149193
RPT039,6.3763706,124.6165249
RPT040,6.3766597,124.6172740
RPT041,6.3774248,124.6176701
RPT042,6.3772742,124.6194728
RPT043,6.3768981,124.6205079
RPT044,6.3798800,124.6207452
RPT045,6.3834203,124.6206593
RPT046,6.3859384,124.6193509
RPT047,6.3872815,124.6198817
RPT048,6.3933897,124.6241379
RPT049,6.3950006,124.6269213
RPT050,6.3978636,124.6288752
RPT051,6.3987410,124.6277717
RPT052,6.3987740,124.6245165
RPT053,6.4003693,124.6236337
RPT054,6.4029095,124.6241122
RPT055,6.4043293,124.6257635
RPT056,6.4049431,124.6283762
RPT057,6.4058007,124.6301060
RPT058,6.4066452,124.6295865
RPT059,6.4077147,124.6277624
RPT060,6.4102437,124.6277716
RPT061,6.4108625,124.6291624
RPT062,6.4105704,124.6319390
RPT063,6.4084112,124.6339729
RPT064,6.4084350,124.6354184
RPT065,6.4095100,124.6358187
RPT066,6.4104969,124.6372106
RPT067,6.4117452,124.6365910
RPT068,6.4140451,124.6348411
RPT069,6.4188827,124.6366705
RPT070,6.4211471,124.6366614
RPT071,6.4235019,124.6358131
RPT072,6.4256039,124.6360338
RPT073,6.4271696,124.6367520
RPT074,6.4282411,124.6360065
RPT075,6.4292790,124.6346547
RPT076,6.4320577,124.6350441
RPT077,6.4328337,124.6350458
RPT078,6.4330951,124.6356740
RPT079,6.4349767,124.6423840
RPT080,6.4319135,124.6480115
RPT081,6.4300669,124.6531728
RPT082,6.4300548,124.6569109
RPT083,6.4264054,124.6598704
RPT084,6.4240985,124.6623550
RPT085,6.4164728,124.6654159
RPT086,6.4121454,124.6677958
RPT087,6.4111996,124.6725142
RPT088,6.4093300,124.6752345
RPT089,6.4089812,124.6802872
RPT090,6.4044029,124.6840136
RPT091,6.3991095,124.6892172
RPT092,6.3971093,124.6913224
RPT093,6.3940554,124.6929549
RPT094,6.3902523,124.6906546
RPT095,6.3871708,124.6894097
