Label,Latitude,Longitude
RPT001,6.3699804,124.4627182
RPT002,6.3653602,124.4631153
RPT003,6.3636548,124.4645291
RPT004,6.3609881,124.4649755
RPT005,6.3597415,124.4645747
RPT006,6.3580393,124.4648536
RPT007,6.3570771,124.4641700
RPT008,6.3552066,124.4638242
RPT009,6.3535075,124.4630250
RPT010,6.3509564,124.4626773
RPT011,6.3494282,124.4615949
RPT012,6.3470257,124.4618719
RPT013,6.3471977,124.3996118
RPT014,6.3531109,124.4094647
RPT015,6.3538820,124.4146292
RPT016,6.3591491,124.4163270
RPT017,6.3649623,124.4234133
RPT018,6.4006945,124.4242624
RPT019,6.4048237,124.4455104
RPT020,6.3993981,124.4505850
RPT021,6.3946226,124.4536631
RPT022,6.3921936,124.4541862
RPT023,6.3869879,124.4539843
RPT024,6.3856993,124.4554801
RPT025,6.3807672,124.4584649
RPT026,6.3776931,124.4605267
RPT027,6.3744095,124.4609458
