Label,Latitude,Longitude
RPT001,6.514836,124.6038121
RPT002,6.510589,124.6051354
RPT003,6.504687,124.6080262
RPT004,6.503229,124.6083877
RPT005,6.5000706,124.5999786
RPT006,6.4998691,124.593783
RPT007,6.4970718,124.5928892
RPT008,6.4979445,124.5728669
RPT009,6.4898436,124.5648798
RPT010,6.4882928,124.5618518
RPT011,6.4881316,124.5593686
RPT012,6.5027056,124.5508982
RPT013,6.5035745,124.5628652
RPT014,6.5105934,124.564109
RPT015,6.5109593,124.579215
RPT016,6.5221825,124.5791179
RPT017,6.5253161,124.5917069
RPT018,6.5230923,124.6031157
RPT019,6.5222538,124.6033377
RPT020,6.5194926,124.603418
RPT021,6.5168281,124.6010919
