ID,DESCRIPTION
1,Abaknon
2,Agta
3,Agutaynon
4,Aklanon
5,Alangan
6,Alta
7,Amerasian
8,Ati
9,Atta
10,Ayta (Aeta)
11,B’laan
12,Badjao
13,Bagobo
14,Balangao
15,Balangingi
16,Bangon
17,Bantoanon
18,Banwaon
19,Batak
20,Bicolano
21,Binukid
22,Boholano
23,Bolinao
24,Bontoc
25,Buhid
26,Butuanon
27,Caluyanon
28,Capiznon
29,Caviteño
30,Cebuano
31,Chinese Filipinos
32,Cotabateño
33,Cuyonon
34,Davaoeño
35,Ermiteño
36,Ga’dang
37,Gaddang
38,Hanunoo
39,Higaonon
40,Ibaloi
41,Ibanag
42,Ifugao
43,Ikalahan
44,Illanun
45,Ilocano
46,Ilonggo
47,Ilongot
48,Indian Filipinos
49,Inonhan
50,Iraya
51,Isinai
52,Isneg
53,Itneg
54,Ivatan
55,Japanese Filipinos
56,Kagayanen
57,Kalagan
58,Kalinga
59,Kamayo
60,Kankanaey
61,Kapampangan
62,Karao
63,Kasiguranin
64,Kinamiguin
65,Kinaray-a
66,Kolibugan
67,Korean Filipinos
68,Magahat
69,Maguindanaon
70,Malaweg
71,Mamanwa
72,Mandaya
73,Manguwangan
74,Manobo
75,Mansaka
76,Maranao
77,Masbateño
78,Matigsalug
79,Molbog
80,Negrense
81,Palawano
82,Pangasinense
83,Paranan
84,Porohanon
85,Ratagnon
86,Romblomanon
87,Sama
88,Sambal
89,Sangil
90,Spanish Filipinos
91,Subanun
92,Sulod
93,Surigaonon
94,T’boli
95,Tadyawan
96,Tagabawa
97,Tagakaulo
98,Tagalog
99,Tagbanwa
100,Talaandig
101,Tasaday
102,Tau’t Bato
103,Tausug
104,Tawbuid
105,Ternateño
106,Tiruray
107,Waray
108,Yakan
109,Yogad
110,Zamboangueño
