Label,Latitude,Longitude
RPT001,6.4043293,124.6257635
RPT002,6.4029095,124.6241122
RPT003,6.4003693,124.6236337
RPT004,6.398774,124.6245165
RPT005,6.398741,124.6277717
RPT006,6.3978636,124.6288752
RPT007,6.3950006,124.6269213
RPT008,6.3933897,124.6241379
RPT009,6.3872815,124.6198817
RPT010,6.3859384,124.6193509
RPT011,6.3834203,124.6206593
RPT012,6.37988,124.6207452
RPT013,6.3768981,124.6205079
RPT014,6.3772742,124.6194728
RPT015,6.3774248,124.6176701
RPT016,6.3766597,124.617274
RPT017,6.3763706,124.6165249
RPT018,6.3772463,124.6149193
RPT019,6.3791954,124.6127474
RPT020,6.3792994,124.6116085
RPT021,6.3780631,124.6107335
RPT022,6.3734118,124.6096467
RPT023,6.3726132,124.6080024
RPT024,6.3721208,124.6048178
RPT025,6.3712551,124.6032067
RPT026,6.3717421,124.6017574
RPT027,6.3740007,124.6011253
RPT028,6.3748993,124.5997222
RPT029,6.374519,124.5987837
RPT030,6.3735025,124.5970338
RPT031,6.3732107,124.5949879
RPT032,6.3721075,124.593749
RPT033,6.3721145,124.591491
RPT034,6.3700686,124.5894434
RPT035,6.3698379,124.587411
RPT036,6.3686565,124.5864254
RPT037,6.3675769,124.5853385
RPT038,6.3686663,124.5832425
RPT039,6.3679255,124.5820212
RPT040,6.3649865,124.5802853
RPT041,6.358865,124.5791164
RPT042,6.3528792,124.5760092
RPT043,6.3495519,124.5726598
RPT044,6.3495973,124.5703571
RPT045,6.3485035,124.5680306
RPT046,6.3897443,124.5594386
RPT047,6.4296502,124.5464876
RPT048,6.4496828,124.5945713
RPT049,6.4499572,124.6008452
RPT050,6.4526943,124.6011491
RPT051,6.4537915,124.6031249
RPT052,6.4558992,124.6035288
RPT053,6.4576751,124.6109584
RPT054,6.4594849,124.6112453
RPT055,6.4611924,124.6200138
RPT056,6.4570166,124.62321
RPT057,6.4497163,124.6278041
RPT058,6.4446157,124.6277878
RPT059,6.439664,124.6288386
RPT060,6.4346376,124.629432
RPT061,6.4315085,124.6318598
RPT062,6.4328337,124.6350458
RPT063,6.4320577,124.6350441
RPT064,6.429279,124.6346547
RPT065,6.4282411,124.6360065
RPT066,6.4271696,124.636752
RPT067,6.4256039,124.6360338
RPT068,6.4235019,124.6358131
RPT069,6.4211471,124.6366614
RPT070,6.4188827,124.6366705
RPT071,6.4140451,124.6348411
RPT072,6.4117452,124.636591
RPT073,6.4104969,124.6372106
RPT074,6.40951,124.6358187
RPT075,6.408435,124.6354184
RPT076,6.4084112,124.6339729
RPT077,6.4105704,124.631939
RPT078,6.4108625,124.6291624
RPT079,6.4102437,124.6277716
RPT080,6.4077147,124.6277624
RPT081,6.4066452,124.6295865
RPT082,6.4058007,124.630106
RPT083,6.4049431,124.6283762
